investment_capacity_result_id,scenario_id,fiscal_year,gross_fcf_capacity,post_dividend_capacity,pre_discretionary_ending_cash,min_cash_buffer,near_term_debt_repayment_reserve,deployable_capacity,cumulative_deployable_capacity,funding_warning,methodology_note,information_cutoff
icr_base_2026_v1,base,2026,3250.8845595879984,1167.294859587998,6655.294859587997,3174.8340000000003,700.0,2780.4608595879968,2780.4608595879968,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_base_2027_v1,base,2027,3435.977827859057,1321.3426413290567,7509.719557081855,3206.5823400000004,700.0,3603.137217081854,3603.137217081854,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_base_2028_v1,base,2028,3556.737318648552,1410.5940678392549,8391.776568389489,3238.6481634,700.0,4453.128404989488,4453.128404989488,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_base_2029_v1,base,2029,3678.888196453455,1500.767411207099,9328.306352460884,3271.0346450340003,700.0,5357.271707426884,5357.271707426884,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_base_2030_v1,base,2030,3801.3401055747736,1590.765320628247,10318.764708606293,3303.74499148434,700.0,6315.019717121953,6315.019717121953,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_downside_2026_v1,downside,2026,1878.9703409499998,-174.0296590500002,5513.970340949999,3064.815,300.0,2149.155340949999,2149.155340949999,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_downside_2027_v1,downside,2027,3465.4399128956284,1412.4399128956284,7126.410253845628,2988.194625,300.0,3838.215628845628,3838.215628845628,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_downside_2028_v1,downside,2028,2984.2303760051072,931.2303760051072,8257.640629850735,2913.489759375,300.0,5044.150870475735,5044.150870475735,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_downside_2029_v1,downside,2029,2522.8750379972585,469.87503799725846,8927.515667847994,2840.6525153906246,300.0,5786.86315245737,5786.86315245737,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
icr_downside_2030_v1,downside,2030,2082.6428409632863,29.64284096328629,9157.15850881128,2769.6362025058597,300.0,6087.522306305421,6087.522306305421,0,"Deployable capacity = max(0, pre_discretionary_ending_cash - min_cash_buffer - near_term_debt_repayment_reserve), where pre_discretionary_ending_cash excludes discretionary share repurchases but includes dividends and the fixed debt schedule. This is NOT 'actual cash available for acquisition' without also accounting for: intra-year (seasonal) liquidity swings -- see the seasonality stress overlay, which found a materially lower intra-year trough is plausible; credit-rating considerations that could require preserving additional headroom beyond this buffer; operating-lease commitments, which are not part of any debt or cash measure here; and management's ongoing discretion to redirect dividends, buybacks, or the debt schedule. cumulative_deployable_capacity is the terminal-year figure plus any amount actually deployed along the way -- never a sum of each year's own balance, which would double-count unused cash carried forward via the ordinary cash roll-forward.",2026-03-11
