metric_definition_id,version,metric,formula,numerator_metrics,denominator_metrics,unit,sign_policy,zero_denominator_policy,negative_denominator_policy,lineage_requirements,valid_analytical_views,review_status,limitation
def_gross_profit_v1,v1,gross_profit,revenue - cost_of_sales,revenue,cost_of_sales,USD_millions,signed_bidirectional (positive in every observed year),N/A (revenue never zero for an operating retailer),N/A (revenue never negative),"lineage points to revenue's and cost_of_sales' own annual_facts rows for the same fiscal_year and analytical_view, operation='subtract'",as_originally_filed;latest_restated,reviewed,"FY2022/FY2023 differ materially by view (see reclassification bridges) -- both values must be computed and retained, never only one."
def_gross_margin_v1,v1,gross_margin,gross_profit / revenue,gross_profit,revenue,percent,positive in every observed year,BLOCKED if revenue=0 (not expected for Target but not assumed away),N/A (revenue never negative),"lineage points to gross_profit's own annual_facts row (same fiscal_year/analytical_view), operation='divide'",as_originally_filed;latest_restated,reviewed,Inherits gross_profit's view-dependence for FY2022/FY2023.
def_operating_margin_v1,v1,operating_margin,operating_income / revenue,operating_income,revenue,percent,signed_bidirectional (positive in every observed year),BLOCKED if revenue=0,N/A (revenue never negative),lineage to operating_income + revenue,as_originally_filed;latest_restated,reviewed,"operating_income itself is view-invariant (unaffected by the COGS/SG&A reclassification) -- this ratio does not differ between views in practice, even though it is computed under both."
def_effective_tax_rate_v1,v1,effective_tax_rate,income_tax_expense / pretax_income,income_tax_expense,pretax_income,percent,positive in every observed year (0-40% reasonableness band per the validation gate),BLOCKED if pretax_income=0,NOT_APPLICABLE if pretax_income<0 (a tax rate on a pretax loss is not a meaningful percentage without further disclosure of the loss's tax character) -- not observed in FY2021-FY2025 but the policy is stated for completeness,lineage to income_tax_expense + pretax_income,as_originally_filed;latest_restated,reviewed,View-invariant in practice (neither input is reclassification-affected).
def_net_margin_v1,v1,net_margin,net_income / revenue,net_income,revenue,percent,positive in every observed year,BLOCKED if revenue=0,N/A (revenue never negative),lineage to net_income + revenue,as_originally_filed;latest_restated,reviewed,View-invariant in practice.
def_free_cash_flow_v1,v1,free_cash_flow,operating_cash_flow - capital_expenditure,operating_cash_flow,capital_expenditure,USD_millions,signed_bidirectional (negative in FY2022),N/A (CFO can legitimately be zero; formula still computes),"N/A (CapEx is a magnitude, never negative by this project's sign convention)","lineage to operating_cash_flow's and capital_expenditure's own annual_facts rows, operation='subtract'. MUST NEVER reference investing_cash_flow -- see docs/decisions.md 2026-09-15 CapEx/CFI distinction entry and the regression tests in tests/unit/test_annual_dry_run.py.",as_originally_filed;latest_restated,reviewed,View-invariant in practice (neither CFO nor CapEx is reclassification-affected).
def_fcf_margin_v1,v1,fcf_margin,free_cash_flow / revenue,free_cash_flow,revenue,percent,signed_bidirectional (negative in FY2022),BLOCKED if revenue=0,N/A (revenue never negative),lineage to free_cash_flow + revenue,as_originally_filed;latest_restated,reviewed,View-invariant in practice.
def_cash_conversion_v1,v1,cash_conversion,operating_cash_flow / net_income,operating_cash_flow,net_income,ratio (x),positive in every observed year,BLOCKED if net_income=0,NOT_APPLICABLE if net_income<0 (a conversion ratio against a net loss is not economically meaningful) -- not observed in FY2021-FY2025,lineage to operating_cash_flow + net_income,as_originally_filed;latest_restated,reviewed,View-invariant in practice.
def_capex_intensity_v1,v1,capex_intensity,capital_expenditure / revenue,capital_expenditure,revenue,percent,positive in every observed year,BLOCKED if revenue=0,N/A (revenue never negative),lineage to capital_expenditure + revenue,as_originally_filed;latest_restated,reviewed,View-invariant in practice.
def_total_debt_gaap_v1,v1,total_debt_gaap,"long_term_debt_gaap_carrying_value - finance_lease_liabilities (= debt_principal_schedule + debt_fair_value_hedge_adjustment, per the exact bridge)",long_term_debt_gaap_carrying_value,finance_lease_liabilities,USD_millions,positive magnitude,N/A (not a ratio),N/A (not a ratio),"lineage to long_term_debt_gaap_carrying_value_noncurrent, long_term_debt_gaap_carrying_value_current, finance_lease_liability_current, finance_lease_liability_noncurrent (four inputs, operation='bridge_component')",as_originally_filed;latest_restated,reviewed,"Gated on the debt-construction tests required in item 6 of the 2026-09-15 approval round before review_status can become 'reviewed'; the bridge itself is proven exact, this row records the definition, not yet the review sign-off. REVIEWED 2026-09-15 (item 6 debt-construction tests now exist and pass in tests/unit/test_annual_dry_run.py: test_finance_leases_are_not_counted_twice_in_total_debt_gaap, test_adjusted_net_debt_does_not_double_count_finance_leases, test_swap_valuation_adjustment_retains_actual_sign_both_directions, test_current_portion_is_subtracted_exactly_once_in_the_bridge, test_all_five_years_debt_bridges_reconcile_to_zero_difference (all 5 fiscal years), test_valuation_net_debt_excludes_finance_leases_consistently, test_target_defined_net_debt_remains_unavailable_even_with_full_debt_data -- 21/21 debt+CapEx tests passing. Promoted from pending_debt_tests to reviewed."
def_valuation_net_debt_excluding_leases_v1,v1,valuation_net_debt_excluding_leases,total_debt_gaap - cash_and_equivalents_balance_sheet,total_debt_gaap,cash_and_equivalents_balance_sheet,USD_millions,signed_bidirectional (could be negative if cash exceeds debt; positive in every observed year),N/A (not a ratio),N/A (not a ratio),lineage to total_debt_gaap + cash_and_equivalents_balance_sheet,as_originally_filed;latest_restated,reviewed,"Same gating as total_debt_gaap. This project's own construction -- never labeled a Target-reported figure (Target discloses no net-debt measure). REVIEWED 2026-09-15 (item 6 debt-construction tests now exist and pass in tests/unit/test_annual_dry_run.py: test_finance_leases_are_not_counted_twice_in_total_debt_gaap, test_adjusted_net_debt_does_not_double_count_finance_leases, test_swap_valuation_adjustment_retains_actual_sign_both_directions, test_current_portion_is_subtracted_exactly_once_in_the_bridge, test_all_five_years_debt_bridges_reconcile_to_zero_difference (all 5 fiscal years), test_valuation_net_debt_excludes_finance_leases_consistently, test_target_defined_net_debt_remains_unavailable_even_with_full_debt_data -- 21/21 debt+CapEx tests passing. Promoted from pending_debt_tests to reviewed."
def_adjusted_net_debt_including_finance_leases_v1,v1,adjusted_net_debt_including_finance_leases,"valuation_net_debt_excluding_leases + finance_lease_liabilities (equivalently long_term_debt_gaap_carrying_value - cash_and_equivalents_balance_sheet -- NEVER long_term_debt_gaap_carrying_value + finance_lease_liabilities, which double-counts)",valuation_net_debt_excluding_leases,finance_lease_liabilities,USD_millions,positive in every observed year,N/A (not a ratio),N/A (not a ratio),lineage to valuation_net_debt_excluding_leases + finance_lease_liabilities,as_originally_filed;latest_restated,reviewed,"Same gating as total_debt_gaap. Double-counting is prevented by construction and by the dedicated test required in item 6; see docs/milestone_2_schema_and_dry_run.md Section 2 for the lease-inclusion component matrix this definition depends on. REVIEWED 2026-09-15 (item 6 debt-construction tests now exist and pass in tests/unit/test_annual_dry_run.py: test_finance_leases_are_not_counted_twice_in_total_debt_gaap, test_adjusted_net_debt_does_not_double_count_finance_leases, test_swap_valuation_adjustment_retains_actual_sign_both_directions, test_current_portion_is_subtracted_exactly_once_in_the_bridge, test_all_five_years_debt_bridges_reconcile_to_zero_difference (all 5 fiscal years), test_valuation_net_debt_excludes_finance_leases_consistently, test_target_defined_net_debt_remains_unavailable_even_with_full_debt_data -- 21/21 debt+CapEx tests passing. Promoted from pending_debt_tests to reviewed."
def_inventory_to_revenue_v1,v1,inventory_to_revenue,inventory / revenue,inventory,revenue,percent,positive in every observed year,BLOCKED if revenue=0,N/A (revenue never negative),lineage to inventory + revenue,as_originally_filed;latest_restated,reviewed,"Mixes a point-in-time stock (inventory) with an annual flow (revenue) -- an average-vs-year-end-inventory convention choice, using year-end per the existing quarterly-model precedent; flagged, not changed, this round."
def_accounts_payable_to_cogs_v1,v1,accounts_payable_to_cogs,accounts_payable / cost_of_sales,accounts_payable,cost_of_sales,percent,positive in every observed year,BLOCKED if cost_of_sales=0,N/A (cost_of_sales never negative),lineage to accounts_payable + cost_of_sales,as_originally_filed;latest_restated,reviewed,View-dependent for FY2022/FY2023 through cost_of_sales (see reclassification bridges) -- both values computed and retained. Same point-in-time/flow convention caveat as inventory_to_revenue.
